req_id,op,block,arrival,size_bytes,locality,start,finish,status,cache_hit,error_injected,error_recovered,rewrite_cycle,endurance_failure,channel,service_time_ms,queue_wait_ms,request_class,stage_times_ms,latency_ms
1,WRITE,1000,0.0,4096,8,0.0,153.94646932218953,completed,False,False,False,1,False,0,153.94646932218953,0.0,write,"{""addressing"": 7.701711096317879, ""encoding"": 4.289360761116792, ""molecular_write"": 122.99700558688227, ""write_verification"": 17.9583918778726, ""buffer"": 1.0}",153.94646932218953
1,WRITE,1001,0.0,4096,9,0.0,139.0566754491165,completed,False,False,False,1,False,0,139.0566754491165,0.0,write,"{""addressing"": 5.863205799191637, ""encoding"": 6.410089464858384, ""molecular_write"": 110.43282513727272, ""write_verification"": 15.350555047793767, ""buffer"": 1.0}",139.0566754491165
1,WRITE,1002,0.0,4096,10,0.0,178.55412337486823,completed,False,False,False,1,False,0,178.55412337486823,0.0,write,"{""addressing"": 8.70713797890677, ""encoding"": 6.401850160003129, ""molecular_write"": 143.84078997193643, ""write_verification"": 18.604345264021898, ""buffer"": 1.0}",178.55412337486823
1,WRITE,1003,0.0,4096,11,0.0,112.73452518396557,completed,False,False,False,1,False,0,112.73452518396557,0.0,write,"{""addressing"": 8.172378832827404, ""encoding"": 5.126567204971376, ""molecular_write"": 76.44370204699361, ""write_verification"": 21.991877099173184, ""buffer"": 1.0}",112.73452518396557
1,WRITE,1004,0.0,4096,12,0.0,130.95668249531758,completed,False,False,False,1,False,0,130.95668249531758,0.0,write,"{""addressing"": 7.673300150069256, ""encoding"": 5.187588168872889, ""molecular_write"": 99.7994663371471, ""write_verification"": 17.296327839228343, ""buffer"": 1.0}",130.95668249531758
1,WRITE,1005,0.0,4096,13,0.0,137.37119735493133,completed,False,False,False,1,False,0,137.37119735493133,0.0,write,"{""addressing"": 6.1581504166217105, ""encoding"": 6.278893224087196, ""molecular_write"": 109.01111418071693, ""write_verification"": 14.923039533505483, ""buffer"": 1.0}",137.37119735493133
1,WRITE,1006,0.0,4096,14,0.0,102.06251655168117,completed,False,False,False,1,False,0,102.06251655168117,0.0,write,"{""addressing"": 8.69591691361369, ""encoding"": 4.734149705902359, ""molecular_write"": 73.28798981111022, ""write_verification"": 14.344460121054896, ""buffer"": 1.0}",102.06251655168117
1,WRITE,1007,0.0,4096,15,0.0,130.4143981132883,completed,False,False,False,1,False,0,130.4143981132883,0.0,write,"{""addressing"": 10.766719757806566, ""encoding"": 6.279043257552271, ""molecular_write"": 94.56703010672722, ""write_verification"": 17.801604991202257, ""buffer"": 1.0}",130.4143981132883
1,WRITE,1008,0.0,4096,0,0.0,131.45893779555712,completed,False,False,False,1,False,0,131.45893779555712,0.0,write,"{""addressing"": 7.103441112729821, ""encoding"": 5.316658749141673, ""molecular_write"": 104.02629070175351, ""write_verification"": 14.012547231932121, ""buffer"": 1.0}",131.45893779555712
1,WRITE,1009,0.0,4096,1,0.0,187.80566825787727,completed,False,False,False,1,False,0,187.80566825787727,0.0,write,"{""addressing"": 9.105755015159106, ""encoding"": 6.685165159017677, ""molecular_write"": 155.9336235837709, ""write_verification"": 15.081124499929599, ""buffer"": 1.0}",187.80566825787727
